"","Hugo_Symbol","bladder","breast","cervix","colon","kidney","liver","lung","prostate","salivary","stomach","thyroid","uterus","max_easophagus","Min","Quantile.1","Median","Quantile.3","Max"
"235","LYPD2",0,0,19.68,0,2.04,25.17,23.25,0,285.03,72.78,0,1.675,6207.38,0,0,2.04,25.17,6207.38
"236","CYP3A4",0.55,4.7,0.2,13.12,13.515,85876.94,0.68,0.915,5.36,28.245,0.75,0.835,7.63,0.2,0.75,4.7,13.12,85876.94
"237","TMEM213",0,29.7,0.55,0,2991.11,0,27.64,6.41,15.68,2.34,0,0.49,0.58,0,0,0.58,15.68,2991.11
"238","PAX2",0,1.08,18.29,0,1277.32,0.29,0,2.8,0,0,0.875,12.785,0,0,0,0.29,2.8,1277.32
"239","MAT1A",3.89,8.32,11.47,3.14,30.45,32540.65,9.06,6.465,11.82,2.305,9.63,5.435,6.73,2.305,5.435,8.32,11.47,32540.65
"240","SPRR1A",303.44,4.54,7,4.28,5.025,3.35,12.18,6.165,6426.31,53.19,2.67,1.07,92680.9,1.07,4.28,6.165,53.19,92680.9
"241","AMBP",2.39,12.83,8,7.51,273.295,189257.69,20.86,5.87,3.17,29.27,11.91,9.53,10.31,2.39,7.51,10.31,20.86,189257.69
"242","CYP4F3",142.01,3.03,3.59,19.25,135.355,3639.7,13.72,9.965,43.32,76.445,1.32,1.645,612.11,1.32,3.59,19.25,135.355,3639.7
"243","PHGR1",24.63,39.5,2.58,12502.12,0.57,3.72,2.16,17.64,0.96,3081.82,3.335,1.195,35.76,0.57,2.16,3.72,35.76,12502.12
"244","LGALS7",11.21,23.08,5.36,2.2,7.735,1.27,7.69,13.93,1183.45,16.21,13.52,4.355,5076.84,1.27,5.36,11.21,16.21,5076.84
"245","C14orf105",2.73,0,9.34,0,2217.265,503.95,0,0,0,0.575,0,6.36,0,0,0,0,6.36,2217.265
"246","CLDN2",0.99,8.51,6.41,5.28,2401.885,1044.52,21.01,6.21,1.75,17.445,6.595,2.535,2.985,0.99,2.985,6.41,17.445,2401.885
"247","APOC4",0,1.45,3.35,0,0,23820.89,8.25,0.485,0.13,0,0.63,1.165,0,0,0,0.485,1.45,23820.89
"248","CFHR1",4.39,3.23,1.45,1.91,26.14,42054.3,2.58,1,2.61,2.1,1.63,1.18,2.15,1,1.63,2.15,3.23,42054.3
"249","THRSP",2.53,1857.6,1.35,3.86,40.31,4671.57,1.41,5.3,18.29,4.445,34.63,3.675,4.1,1.35,3.675,4.445,34.63,4671.57
"250","SPINK5",49.21,22.92,15.11,47.5,11.645,2.32,80.57,24.29,2609.3,82,28.655,5.845,17804.06,2.32,15.11,28.655,80.57,17804.06
