"Hugo_Symbol","pcon","gini_coeff"
"NSDHL",0.0851805010095631,0.183728432642598
"PPM1K",0.110242545772109,0.236778396309067
"APOA1",1.67435302492153e-05,0.922593706859732
"ZNF442",0.0990498812351544,0.202512768308493
"NPIPB8",0.0445541644624699,0.411332510433198
"SSU72",0.0761582562007154,0.0589711499504144
"BMPR1B",0.447419943142198,0.651032834211507
"NELL2",0.100548983726554,0.538194461900429
"ZACN",0.128750201874221,0.497780259552115
"MAPRE3",0.079299884864051,0.15535922927042
"TTC24",0.0431618984620473,0.266909211179097
"AVPR2",0.0281242301500455,0.474461584294466
"CYP26B1",0.0385585923070119,0.384566957748159
"RPS28",0.0855392569161135,0.143507314812901
"CSNK2A2",0.0691349377336798,0.111734174797542
"GREM2",0.0402894227668494,0.526129908466252
"SRGAP3",0.126536773495511,0.255151551355099
"PATZ1",0.103062501145561,0.236807507216318
"ARAP3",0.0541548145009986,0.314801146320846
"PARK2",0.056938459873852,0.357565968721986
"TCF15",0.0204059152369675,0.488043061501603
"EIF3E",0.0733627839830065,0.19831217380805
"IZUMO2",0.317093311312964,0.780537381693451
"BAIAP3",0.153802027155317,0.275714129894683
"MTHFR",0.0664580739259582,0.207604369544678
"CNKSR1",0.0916336996336996,0.360587499869551
"TMEM67",0.0676538097038023,0.26588726781006
"AC024592.12",0.0690485551405544,0.136536571350804
"RP11-345J4.3",0.105879541108987,0.197980795495136
"PXDN",0.0754257587323313,0.348804193581195
"PCDHB1",0,0.914855185300529
"PRR22",0.0907125725826811,0.251789078127124
"ZNF114",0.0291498318278933,0.697067280233147
"LRRC38",0.0215508947469694,0.465564452864819
"GPR176",0.165449407117989,0.312224127668853
"FAM188A",0.0862379462521109,0.129075059643844
"WDR5B",0.111856044709664,0.20384532711421
"SLC22A17",0.166130797157613,0.35266909039581
"KRT8",0.0950617866648324,0.280248229343425
"CYB5B",0.0824183710082526,0.123601268553879
"MBTD1",0.0706644283734361,0.151125839337259
"PARD3",0.0640109442057638,0.209120148075066
"WDYHV1",0.0990253931652572,0.119295406616998
"PLEKHF2",0.0587734852511744,0.213097399566
"MAMDC4",0.0556071114584351,0.412042290033889
